,exchange,cal_date,is_open
6859,SSE,20181012,1
6860,SSE,20181013,0
6861,SSE,20181014,0
6862,SSE,20181015,1
6863,SSE,20181016,1
6864,SSE,20181017,1
6865,SSE,20181018,1
6866,SSE,20181019,1
6867,SSE,20181020,0
6868,SSE,20181021,0
6869,SSE,20181022,1
6870,SSE,20181023,1
6871,SSE,20181024,1
6872,SSE,20181025,1
6873,SSE,20181026,1
6874,SSE,20181027,0
6875,SSE,20181028,0
6876,SSE,20181029,1
6877,SSE,20181030,1
6878,SSE,20181031,1
6879,SSE,20181101,1
6880,SSE,20181102,1
6881,SSE,20181103,0
6882,SSE,20181104,0
6883,SSE,20181105,1
6884,SSE,20181106,1
6885,SSE,20181107,1
6886,SSE,20181108,1
6887,SSE,20181109,1
6888,SSE,20181110,0
6889,SSE,20181111,0
6890,SSE,20181112,1
6891,SSE,20181113,1
6892,SSE,20181114,1
6893,SSE,20181115,1
6894,SSE,20181116,1
6895,SSE,20181117,0
6896,SSE,20181118,0
6897,SSE,20181119,1
6898,SSE,20181120,1
6899,SSE,20181121,1
6900,SSE,20181122,1
6901,SSE,20181123,1
6902,SSE,20181124,0
6903,SSE,20181125,0
6904,SSE,20181126,1
6905,SSE,20181127,1
6906,SSE,20181128,1
6907,SSE,20181129,1
6908,SSE,20181130,1
6909,SSE,20181201,0
6910,SSE,20181202,0
6911,SSE,20181203,1
6912,SSE,20181204,1
6913,SSE,20181205,1
6914,SSE,20181206,1
6915,SSE,20181207,1
6916,SSE,20181208,0
6917,SSE,20181209,0
6918,SSE,20181210,1
6919,SSE,20181211,1
6920,SSE,20181212,1
6921,SSE,20181213,1
6922,SSE,20181214,1
6923,SSE,20181215,0
6924,SSE,20181216,0
6925,SSE,20181217,1
6926,SSE,20181218,1
6927,SSE,20181219,1
6928,SSE,20181220,1
6929,SSE,20181221,1
6930,SSE,20181222,0
6931,SSE,20181223,0
6932,SSE,20181224,1
6933,SSE,20181225,1
6934,SSE,20181226,1
6935,SSE,20181227,1
6936,SSE,20181228,1
6937,SSE,20181229,0
6938,SSE,20181230,0
6939,SSE,20181231,0
6940,SSE,20190101,0
6941,SSE,20190102,1
