,Unnamed: 0,Unnamed: 0.1,open,high,low,adjclose,amount,volume,str07,pct_index_300,pct_vol_300,adjclose_8,true_adjclose_8,buy_profit,sell_profit
1774.0,1774,2012-06-28,4.85,4.95,4.78,4.8,33996880.0,6995271,65536,-0.877329192546572,1.78475065927568,4.581559,4.52,0.0,0.21844081878662092
1778.0,1778,2012-07-04,4.88,4.92,4.84,4.89,20299628.0,4159039,65536,-0.15392592112510872,-10.961086495629203,4.581699,4.37,0.0,0.30830110549926726
1780.0,1780,2012-07-06,4.66,4.78,4.52,4.77,35130688.0,7574399,65536,1.7380069701321332,42.862402377229024,4.6364264,4.52,0.0,0.1335735511779781
1781.0,1781,2012-07-09,4.71,4.72,4.53,4.55,24123244.0,5216687,65536,-2.287865858344018,-0.7806859037498115,4.62222,4.96,0.07222003936767596,0.0
1783.0,1783,2012-07-11,4.53,4.6,4.51,4.57,12482924.0,2737921,65536,0.7836423997905849,5.834961838520102,4.639575,4.66,0.06957500457763643,0.0
1789.0,1789,2012-07-19,4.5,4.97,4.48,4.96,176867472.0,36111275,65536,0.4137793922123434,12.4480034244282,4.6132627,4.36,0.0,0.3467373466491699
1791.0,1791,2012-07-23,4.66,4.73,4.58,4.66,40605388.0,8742509,65536,-1.3771336607656617,-13.900635820212967,4.68506,4.39,0.0,-0.025060024261474467
1793.0,1793,2012-07-25,4.68,4.75,4.58,4.58,28266912.0,6085234,65536,-0.6696156128603192,-17.86065288711389,4.7220125,4.64,0.1420125198364257,0.0
1801.0,1801,2012-08-06,4.62,4.74,4.59,4.64,35573760.0,7661163,65536,1.3540153118016596,40.48023860434329,4.6708922,4.48,0.0,-0.03089223861694368
1803.0,1803,2012-08-08,4.68,4.71,4.61,4.64,25709232.0,5521692,65536,0.038511932419926787,-1.2407781966687126,4.670879,4.55,0.0,-0.03087888717651399
1813.0,1813,2012-08-22,4.65,4.68,4.56,4.59,16599053.0,3599899,65536,-0.7827289622682088,-9.13219334519746,4.415733,4.39,0.0,0.1742671394348143
1817.0,1817,2012-08-28,4.36,4.44,4.33,4.4,11024725.0,2515176,65536,0.4582173952069058,-9.66286188395068,4.51996,4.59,0.11995992660522425,0.0
1820.0,1820,2012-08-31,4.32,4.35,4.29,4.32,8095662.0,1875411,65536,-0.29393543369042874,-26.841285937318183,4.538189,4.63,0.2181889343261716,0.0
1822.0,1822,2012-09-04,4.39,4.43,4.32,4.34,11071793.0,2533734,65536,-1.0752253889614427,-9.587649790166141,4.487776,4.64,0.14777580261230483,0.0
1828.0,1828,2012-09-12,4.62,4.66,4.56,4.63,25043264.0,5435902,65536,0.3538230625159677,7.2670703626547715,4.4055815,4.43,0.0,0.22441852569580067
1839.0,1839,2012-09-27,4.25,4.35,4.19,4.31,17721880.0,4140827,65536,3.0587352223681696,93.10734737380872,4.6735787,4.43,0.36357873916626016,0.0
1847.0,1847,2012-10-16,4.42,4.48,4.39,4.43,12355597.0,2775804,65536,0.14379962176340744,11.894329232152215,4.2760644,4.32,0.0,0.1539356040954587
1852.0,1852,2012-10-23,4.52,4.57,4.48,4.48,17352796.0,3835219,65536,-1.2602547841424117,8.301216999881799,4.345263,4.49,-0.1347369956970219,0.0
1865.0,1865,2012-11-09,4.21,4.28,4.19,4.25,16725853.0,3947754,65536,-0.19996348105689726,-13.886526954770408,4.164231,4.19,0.0,0.0857691764831543
1866.0,1866,2012-11-12,4.25,4.32,4.21,4.29,7992293.0,1870666,65536,0.4877461042785969,13.815587966657315,4.161089,4.15,0.0,0.12891105651855472
1869.0,1869,2012-11-15,4.2,4.21,4.11,4.11,8064234.0,1941364,65536,-1.3265200552379453,5.831209109231027,3.9967637,3.9500000000000006,0.0,0.11323629379272493
1871.0,1871,2012-11-19,4.13,4.15,4.07,4.13,6976120.0,1700086,65536,-0.10334184563943748,-10.807799288185915,3.8112915,3.72,0.0,0.3187085437774657
1873.0,1873,2012-11-21,4.17,4.19,4.09,4.19,7496528.0,1808564,65536,1.3866819408004052,27.389824240896754,3.7570837,3.64,0.0,0.43291634559631387
1879.0,1879,2012-11-29,3.82,3.86,3.71,3.72,8691407.0,2285720,65536,-0.6331135283398126,-1.1286953038185832,3.889323,3.9500000000000006,0.16932299613952617,0.0
1881.0,1881,2012-12-03,3.74,3.79,3.64,3.64,10670991.0,2873816,65536,-1.439948403017299,10.382234845466565,3.8382974,3.87,0.19829736709594714,0.0
